index,city,district,min_booking_duration,first_pic_category,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,clicks
26561,141,1349,3,LIVING_DINING_ROOM,2,3,4000.0,103.0,2550.0,3,46,150.0,562
1276,141,951,1,LIVING_DINING_ROOM,1,1,500.0,,550.0,,9,0.0,0
1963,822,923,6,LIVING_DINING_ROOM,1,3,2500.0,55.0,1590.0,2,20,150.0,1746
16416,141,601,2,ROOM_BEDROOM,4,4,1700.0,103.0,2600.0,4,15,150.0,89
11936,349,440,6,LIVING_DINING_ROOM,2,4,4600.0,90.0,2600.0,2,16,200.0,0
11878,822,923,6,LIVING_DINING_ROOM,2,2,3900.0,58.0,1690.0,2,12,180.0,0
295,917,1010,1,TERRACE,6,3,0.0,75.0,4300.0,6,11,60.0,0
27758,669,778,1,OUTDOOR_HOUSE,5,5,2390.0,126.0,2390.0,5,20,0.0,348
9170,822,923,1,LIVING_DINING_ROOM,1,1,1300.0,,1300.0,,7,,0
16567,141,893,1,LIVING_DINING_ROOM,4,4,500.0,140.0,3500.0,8,22,,0
2819,271,356,1,LIVING_DINING_ROOM,1,1,1500.0,82.0,2645.0,2,24,90.0,285
7214,963,1051,6,LIVING_DINING_ROOM,3,4,5500.0,200.0,5500.0,5,37,380.0,1191
4449,656,766,8,TERRACE,6,7,5000.0,220.0,2800.0,5,14,0.0,0
31401,315,400,6,KITCHEN,1,2,1400.0,50.0,850.0,1,20,250.0,1399
9362,465,234,3,LIVING_DINING_ROOM,3,8,4000.0,180.0,1900.0,5,20,0.0,0
6079,141,287,1,,1,1,500.0,0.0,1590.0,0,,0.0,0
11564,141,1052,1,LIVING_DINING_ROOM,1,1,300.0,40.0,1450.0,2,13,75.0,867
19364,263,348,1,OUTDOOR_HOUSE,4,2,200.0,37.0,1300.0,4,10,30.0,0
29153,310,394,1,TERRACE,1,1,500.0,,1180.0,,3,0.0,0
20059,258,342,1,LIVING_DINING_ROOM,2,2,1090.0,54.0,1090.0,2,7,55.0,354
9122,734,841,1,ROOM_BEDROOM,1,1,0.0,35.0,2250.0,2,4,0.0,14
17874,141,1024,1,,1,1,500.0,,1485.0,,,,0
28815,141,1024,2,LIVING_DINING_ROOM,1,1,1050.0,38.0,1050.0,2,19,0.0,0
322,822,923,1,LIVING_DINING_ROOM,1,1,500.0,40.0,500.0,2,3,0.0,0
8384,141,458,1,ROOM_BEDROOM,5,2,1000.0,90.0,2690.0,5,7,49.0,0
28751,141,299,12,LIVING_DINING_ROOM,3,4,500.0,90.0,2500.0,4,7,0.0,0
27068,1041,1121,1,ROOM_BEDROOM,6,3,500.0,82.0,1500.0,8,15,50.0,110
9877,141,759,1,,0,0,500.0,50.0,1000.0,1,,0.0,0
24477,141,893,6,LIVING_DINING_ROOM,1,2,3500.0,65.0,1950.0,2,35,100.0,1126
17778,271,356,1,LIVING_DINING_ROOM,1,1,1000.0,38.0,690.0,2,14,88.0,0
8602,141,287,1,ROOM_BEDROOM,1,1,500.0,41.0,500.0,2,5,0.0,0
29131,141,287,3,LIVING_DINING_ROOM,1,1,2000.0,52.0,1093.0,1,25,60.0,816
8336,616,727,24,UNCATEGORIZED,4,2,1500.0,77.0,1500.0,4,16,70.0,0
8019,822,923,1,ROOM_BEDROOM,1,1,250.0,19.0,1500.0,2,20,0.0,2274
27729,141,1192,1,,1,1,1800.0,,1800.0,,,,0
21892,882,978,1,,0,0,700.0,,700.0,,,,0
17216,465,49,3,ROOM_BEDROOM,1,1,1500.0,35.0,895.0,1,5,120.0,1014
30670,185,998,1,LIVING_DINING_ROOM,2,3,1050.0,90.0,1050.0,3,17,0.0,0
31072,822,923,6,LIVING_DINING_ROOM,3,3,3500.0,108.0,2500.0,3,5,100.0,488
14831,263,348,1,BATHROOM,1,3,1200.0,67.0,1300.0,2,11,150.0,326
16687,141,148,1,,1,1,500.0,,1100.0,,,,0
33626,473,575,3,LIVING_DINING_ROOM,2,3,2000.0,70.0,1630.0,4,20,250.0,487
11730,141,1221,1,,1,1,500.0,,1060.0,,,,0
10973,647,756,1,LIVING_DINING_ROOM,1,2,1250.0,33.0,495.0,1,9,80.0,0
6343,141,1024,1,LIVING_DINING_ROOM,1,3,1500.0,65.0,1090.0,2,6,0.0,0
12434,473,575,1,ROOM_BEDROOM,7,3,3000.0,85.0,5100.0,9,15,100.0,10
23623,701,809,1,LIVING_DINING_ROOM,1,2,1000.0,37.0,690.0,1,16,50.0,1607
2044,141,893,2,ROOM_BEDROOM,1,1,1350.0,30.0,1350.0,1,30,170.0,3
281,465,374,6,LIVING_DINING_ROOM,1,1,1900.0,38.0,990.0,2,16,100.0,144
30294,822,923,2,LIVING_DINING_ROOM,1,2,1000.0,95.0,1800.0,2,5,150.0,0
12462,656,766,3,,1,1,1075.0,,1075.0,,,,0
4706,349,440,1,LIVING_DINING_ROOM,2,2,2900.0,55.0,1550.0,2,39,100.0,108
2858,1194,1248,1,LIVING_DINING_ROOM,3,2,1500.0,60.0,1300.0,3,16,100.0,0
18622,141,416,1,,1,1,500.0,,1200.0,,,0.0,0
15866,141,893,3,LIVING_DINING_ROOM,1,2,3200.0,51.0,1700.0,2,8,250.0,2785
836,185,893,1,ROOM_BEDROOM,4,1,0.0,30.0,1750.0,2,9,30.0,323
1925,271,356,1,,1,1,1000.0,,1000.0,,,,0
28138,1194,1248,1,,1,1,500.0,,1290.0,,,0.0,0
18340,1194,1248,1,LIVING_DINING_ROOM,1,2,500.0,69.0,1350.0,2,9,70.0,0
33001,141,893,2,ROOM_BEDROOM,1,1,1400.0,36.0,1400.0,1,31,170.0,0
14301,982,1067,1,LIVING_DINING_ROOM,1,1,1000.0,32.0,800.0,1,19,50.0,403
6948,822,923,2,ROOM_BEDROOM,1,1,1000.0,21.0,1500.0,2,11,100.0,1109
29266,349,440,1,HALL_CORRIDOR,3,3,1000.0,66.0,1300.0,2,10,0.0,0
16855,141,951,5,ROOM_BEDROOM,1,1,1500.0,35.0,1050.0,1,22,150.0,684
32881,822,923,1,,1,1,550.0,,550.0,,,,0
15448,271,356,1,LIVING_DINING_ROOM,1,1,500.0,45.0,1080.0,2,9,30.0,0
5530,141,248,1,,1,1,500.0,,1050.0,,,0.0,0
31472,141,263,1,,1,1,1100.0,,1100.0,,,,0
31934,465,567,6,LIVING_DINING_ROOM,1,2,700.0,62.0,700.0,1,9,100.0,469
4947,141,287,6,ROOM_BEDROOM,2,2,2000.0,46.0,1590.0,4,22,0.0,0
18229,822,923,5,LIVING_DINING_ROOM,2,3,3000.0,95.0,2350.0,2,38,0.0,0
33873,271,356,1,ROOM_BEDROOM,1,1,900.0,31.0,900.0,1,12,50.0,969
25064,141,287,2,LIVING_DINING_ROOM,1,2,2000.0,70.0,2000.0,2,13,120.0,0
21856,1056,1135,1,UNCATEGORIZED,1,1,980.0,61.0,980.0,1,13,100.0,499
4014,701,809,1,HALL_CORRIDOR,1,1,450.0,39.0,1111.0,4,12,30.0,258
