district,min_booking_duration,first_pic_category,rooms,deposit,area,price,number_of_pics,cleaning_fee,deposit_ratio,clicks
1349,3,LIVING_DINING_ROOM,3,4000.0,103.0,2550.0,46.0,150.0,1.5686274509803921,562
951,1,LIVING_DINING_ROOM,1,500.0,55.0,550.0,9.0,0.0,0.9090909090909091,0
923,6,LIVING_DINING_ROOM,3,2500.0,55.0,1590.0,20.0,150.0,1.5723270440251573,1746
601,2,ROOM_BEDROOM,4,1700.0,103.0,2600.0,15.0,150.0,0.6538461538461539,89
440,6,LIVING_DINING_ROOM,4,4600.0,90.0,2600.0,16.0,200.0,1.7692307692307692,0
923,6,LIVING_DINING_ROOM,2,3900.0,58.0,1690.0,12.0,180.0,2.3076923076923075,0
1010,1,TERRACE,3,0.0,75.0,4300.0,11.0,60.0,0.0,0
778,1,OUTDOOR_HOUSE,5,2390.0,126.0,2390.0,20.0,0.0,1.0,348
923,1,LIVING_DINING_ROOM,1,1300.0,55.0,1300.0,7.0,80.0,1.0,0
893,1,LIVING_DINING_ROOM,4,500.0,140.0,3500.0,22.0,80.0,0.14285714285714285,0
356,1,LIVING_DINING_ROOM,1,1500.0,82.0,2645.0,24.0,90.0,0.5671077504725898,285
1051,6,LIVING_DINING_ROOM,4,5500.0,200.0,5500.0,37.0,380.0,1.0,1191
766,8,TERRACE,7,5000.0,220.0,2800.0,14.0,0.0,1.7857142857142858,0
400,6,KITCHEN,2,1400.0,50.0,850.0,20.0,250.0,1.6470588235294117,1399
234,3,LIVING_DINING_ROOM,8,4000.0,180.0,1900.0,20.0,0.0,2.1052631578947367,0
1052,1,LIVING_DINING_ROOM,1,300.0,40.0,1450.0,13.0,75.0,0.20689655172413793,867
348,1,OUTDOOR_HOUSE,2,200.0,37.0,1300.0,10.0,30.0,0.15384615384615385,0
394,1,TERRACE,1,500.0,55.0,1180.0,3.0,0.0,0.423728813559322,0
342,1,LIVING_DINING_ROOM,2,1090.0,54.0,1090.0,7.0,55.0,1.0,354
841,1,ROOM_BEDROOM,1,0.0,35.0,2250.0,4.0,0.0,0.0,14
1024,1,UNCATEGORIZED,1,500.0,55.0,1485.0,0.0,80.0,0.3367003367003367,0
1024,2,LIVING_DINING_ROOM,1,1050.0,38.0,1050.0,19.0,0.0,1.0,0
923,1,LIVING_DINING_ROOM,1,500.0,40.0,500.0,3.0,0.0,1.0,0
458,1,ROOM_BEDROOM,2,1000.0,90.0,2690.0,7.0,49.0,0.37174721189591076,0
299,12,LIVING_DINING_ROOM,4,500.0,90.0,2500.0,7.0,0.0,0.2,0
1121,1,ROOM_BEDROOM,3,500.0,82.0,1500.0,15.0,50.0,0.3333333333333333,110
759,1,UNCATEGORIZED,0,500.0,50.0,1000.0,0.0,0.0,0.5,0
893,6,LIVING_DINING_ROOM,2,3500.0,65.0,1950.0,35.0,100.0,1.794871794871795,1126
356,1,LIVING_DINING_ROOM,1,1000.0,38.0,690.0,14.0,88.0,1.4492753623188406,0
287,1,ROOM_BEDROOM,1,500.0,41.0,500.0,5.0,0.0,1.0,0
287,3,LIVING_DINING_ROOM,1,2000.0,52.0,1093.0,25.0,60.0,1.829826166514181,816
727,24,UNCATEGORIZED,2,1500.0,77.0,1500.0,16.0,70.0,1.0,0
923,1,ROOM_BEDROOM,1,250.0,19.0,1500.0,20.0,0.0,0.16666666666666666,2274
1192,1,UNCATEGORIZED,1,1800.0,55.0,1800.0,0.0,80.0,1.0,0
978,1,UNCATEGORIZED,0,700.0,55.0,700.0,0.0,80.0,1.0,0
49,3,ROOM_BEDROOM,1,1500.0,35.0,895.0,5.0,120.0,1.675977653631285,1014
998,1,LIVING_DINING_ROOM,3,1050.0,90.0,1050.0,17.0,0.0,1.0,0
923,6,LIVING_DINING_ROOM,3,3500.0,108.0,2500.0,5.0,100.0,1.4,488
348,1,BATHROOM,3,1200.0,67.0,1300.0,11.0,150.0,0.9230769230769231,326
148,1,UNCATEGORIZED,1,500.0,55.0,1100.0,0.0,80.0,0.45454545454545453,0
575,3,LIVING_DINING_ROOM,3,2000.0,70.0,1630.0,20.0,250.0,1.2269938650306749,487
1221,1,UNCATEGORIZED,1,500.0,55.0,1060.0,0.0,80.0,0.4716981132075472,0
756,1,LIVING_DINING_ROOM,2,1250.0,33.0,495.0,9.0,80.0,2.525252525252525,0
1024,1,LIVING_DINING_ROOM,3,1500.0,65.0,1090.0,6.0,0.0,1.3761467889908257,0
575,1,ROOM_BEDROOM,3,3000.0,85.0,5100.0,15.0,100.0,0.5882352941176471,10
809,1,LIVING_DINING_ROOM,2,1000.0,37.0,690.0,16.0,50.0,1.4492753623188406,1607
893,2,ROOM_BEDROOM,1,1350.0,30.0,1350.0,30.0,170.0,1.0,3
374,6,LIVING_DINING_ROOM,1,1900.0,38.0,990.0,16.0,100.0,1.9191919191919191,144
923,2,LIVING_DINING_ROOM,2,1000.0,95.0,1800.0,5.0,150.0,0.5555555555555556,0
766,3,UNCATEGORIZED,1,1075.0,55.0,1075.0,0.0,80.0,1.0,0
440,1,LIVING_DINING_ROOM,2,2900.0,55.0,1550.0,39.0,100.0,1.8709677419354838,108
1248,1,LIVING_DINING_ROOM,2,1500.0,60.0,1300.0,16.0,100.0,1.1538461538461537,0
416,1,UNCATEGORIZED,1,500.0,55.0,1200.0,0.0,0.0,0.4166666666666667,0
893,3,LIVING_DINING_ROOM,2,3200.0,51.0,1700.0,8.0,250.0,1.8823529411764706,2785
893,1,ROOM_BEDROOM,1,0.0,30.0,1750.0,9.0,30.0,0.0,323
356,1,UNCATEGORIZED,1,1000.0,55.0,1000.0,0.0,80.0,1.0,0
1248,1,UNCATEGORIZED,1,500.0,55.0,1290.0,0.0,0.0,0.3875968992248062,0
1248,1,LIVING_DINING_ROOM,2,500.0,69.0,1350.0,9.0,70.0,0.37037037037037035,0
893,2,ROOM_BEDROOM,1,1400.0,36.0,1400.0,31.0,170.0,1.0,0
1067,1,LIVING_DINING_ROOM,1,1000.0,32.0,800.0,19.0,50.0,1.25,403
923,2,ROOM_BEDROOM,1,1000.0,21.0,1500.0,11.0,100.0,0.6666666666666666,1109
440,1,HALL_CORRIDOR,3,1000.0,66.0,1300.0,10.0,0.0,0.7692307692307693,0
951,5,ROOM_BEDROOM,1,1500.0,35.0,1050.0,22.0,150.0,1.4285714285714286,684
923,1,UNCATEGORIZED,1,550.0,55.0,550.0,0.0,80.0,1.0,0
356,1,LIVING_DINING_ROOM,1,500.0,45.0,1080.0,9.0,30.0,0.46296296296296297,0
248,1,UNCATEGORIZED,1,500.0,55.0,1050.0,0.0,0.0,0.47619047619047616,0
263,1,UNCATEGORIZED,1,1100.0,55.0,1100.0,0.0,80.0,1.0,0
567,6,LIVING_DINING_ROOM,2,700.0,62.0,700.0,9.0,100.0,1.0,469
