min_booking_duration,rooms,deposit,area,price,number_of_pics,cleaning_fee,deposit_ratio,clicks,district_popularity,first_pic_category_BALCONY,first_pic_category_BATHROOM,first_pic_category_DETAILS,first_pic_category_DINING_ROOM,first_pic_category_EMPTY_ROOM,first_pic_category_ENERGY_CERTIFICATE,first_pic_category_FLOOR_PLAN,first_pic_category_GARDEN,first_pic_category_GYM,first_pic_category_HALL_CORRIDOR,first_pic_category_KITCHEN,first_pic_category_LAUNDRY_ROOM,first_pic_category_LIVING_DINING_ROOM,first_pic_category_LIVING_ROOM,first_pic_category_MAP_LOCATION,first_pic_category_MOUNTAIN_VIEW,first_pic_category_NON_RELATED,first_pic_category_OFFICE,first_pic_category_OUTDOOR_BUILDING,first_pic_category_OUTDOOR_HOUSE,first_pic_category_PARKING,first_pic_category_POOL,first_pic_category_ROOM_BEDROOM,first_pic_category_STAIRS,first_pic_category_STORAGE_PANTRY,first_pic_category_TERRACE,first_pic_category_THREE_D_FLOOR_PLAN,first_pic_category_TWO_D_FLOOR_PLAN,first_pic_category_UNCATEGORIZED,first_pic_category_WALK_IN_CLOSET,first_pic_category_WATER_VIEW
3,3,4000.0,103.0,2550.0,46.0,150.0,1.5686274509803921,562,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2000.0,58.0,1290.0,23.0,85.0,1.550387596899225,306,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2385.0,73.0,1969.0,26.0,249.0,1.2112747587607924,1468,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1200.0,65.0,1350.0,11.0,0.0,0.8888888888888888,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,2000.0,63.0,1950.0,0.0,100.0,1.0256410256410255,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1690.0,55.0,1690.0,0.0,80.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2,2220.0,60.0,1480.0,9.0,60.0,1.5,1143,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2000.0,67.0,1490.0,34.0,120.0,1.342281879194631,8733,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1500.0,60.0,1790.0,25.0,70.0,0.8379888268156425,361,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2000.0,78.0,1590.0,20.0,100.0,1.2578616352201257,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
